Letter	Romanized	Bindhi Letters	Romanized	Accents	Name	Sound
ੳ	oora	ਸ਼	shasha pear bindhi, sh	ਾ	kannā	aa
ਅ	aera	ਖ਼	khakha pear bindhi, kher	ੀ	biā̀rī	ee
ੲ	iri	ਗ਼	gaga pear bindhi, gher	ਿ	siā̀rī	ii
ਸ	sassa	ਜ਼	zaza pear bindhi, z	ੁ	auṅkaṛ	u
ਹ	haha	ਫ਼	fafa pear bindhi, f	ੂ	dulaiṅkaṛ	oo
ਕ	kaka	ਲ਼	lala pear bindhi, l	ੇ	lā̃/lāvā̃	ea
ਖ	khakha	-	-	ੈ	dulāvā̃	a
ਗ	gaga	-	-	ੋ	hoṛā	o
ਘ	ghagha	-	-	ੌ	kanauṛā	aw
ਙ	ngana	-	-	 ਂ	bindī	n
ਚ	chacha	-	-	 ੰ	tippī	un
ਛ	chhachha	-	-	੍ਰ	subscript rara	r
ਜ	jajja	-	-	੍ਵ	subscript vava	v
ਝ	jhajha	-	-	੍ਹ	subscript haha	h
ਞ	njanja	-	-	 ੱ	adhak	germination
ਟ	tainka	-	-	-	-	-
ਠ	thathaa	-	-	-	-	-
ਡ	dadda	-	-	-	-	-
ਢ	tdhadha	-	-	-	-	-
ਣ	nana	-	-	-	-	-
ਤ	tutta	-	-	-	-	-
ਥ	thatha	-	-	-	-	-
ਦ	dada	-	-	-	-	-
ਧ	dhadha	-	-	-	-	-
ਨ	nanna	-	-	-	-	-
ਪ	puppa	-	-	-	-	-
ਫ	phapha	-	-	-	-	-
ਬ	bubba	-	-	-	-	-
ਭ	bhabha	-	-	-	-	-
ਮ	mumma	-	-	-	-	-
ਯ	yaeya	-	-	-	-	-
ਰ	rara	-	-	-	-	-
ਲ	lulla	-	-	-	-	-
ਵ	vava	-	-	-	-	-
ੜ	rara	-	-	-	-	-
